persona_id,community,population,social_vulnerability_score,access_to_resources,question_id,option1,option2,priority_choice,ordered_pair
P002,Community 1,5000,0.7,0,Q023,Repair Power Residential in Community 2,Repair Water Commercial in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Commercial in Community 2']"
P002,Community 1,5000,0.7,0,Q003,Repair Water School in Community 1,Repair Power Residential in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 2']"
P002,Community 1,5000,0.7,0,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 3']"
P002,Community 1,5000,0.7,0,Q018,Repair Water Residential in Community 1,Repair Water Commercial in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Commercial in Community 2']"
P003,Community 2,12000,0.4,1,Q020,Repair Water Residential in Community 1,Repair Power Residential in Community 3,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 3']"
P003,Community 2,12000,0.4,1,Q015,Repair Power Residential in Community 1,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 1']"
P003,Community 2,12000,0.4,1,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 3']"
P003,Community 2,12000,0.4,1,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 3']"
P003,Community 2,12000,0.4,1,Q006,Repair Water School in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water School in Community 1']"
P003,Community 2,12000,0.4,1,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 2']"
P003,Community 2,12000,0.4,1,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water School in Community 3']"
P003,Community 2,12000,0.4,1,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Power Residential in Community 2']"
P003,Community 2,12000,0.4,1,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Power Residential in Community 2']"
P003,Community 2,12000,0.4,1,Q003,Repair Water School in Community 1,Repair Power Residential in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 2']"
P004,Community 2,12000,0.4,1,Q011,Repair Power Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Power Residential in Community 1']"
P004,Community 2,12000,0.4,1,Q017,Repair Water Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Residential in Community 2']"
P004,Community 2,12000,0.4,1,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Commercial in Community 2']"
P004,Community 2,12000,0.4,1,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 1']"
P004,Community 2,12000,0.4,1,Q006,Repair Water School in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water School in Community 1']"
P004,Community 2,12000,0.4,1,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
P004,Community 2,12000,0.4,1,Q031,Repair Water Commercial in Community 2,Repair Water School in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water School in Community 3']"
P004,Community 2,12000,0.4,1,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 3']"
P004,Community 2,12000,0.4,1,Q019,Repair Water Residential in Community 1,Repair Water School in Community 3,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water School in Community 3']"
P004,Community 2,12000,0.4,1,Q029,Repair Water Residential in Community 2,Repair Power Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Power Residential in Community 3']"
P005,Community 3,20000,0.2,2,Q017,Repair Water Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 1']"
P005,Community 3,20000,0.2,2,Q015,Repair Power Residential in Community 1,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 1']"
P005,Community 3,20000,0.2,2,Q032,Repair Water Commercial in Community 2,Repair Power Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Power Residential in Community 3']"
P005,Community 3,20000,0.2,2,Q031,Repair Water Commercial in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Commercial in Community 2']"
P005,Community 3,20000,0.2,2,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Commercial in Community 2']"
P005,Community 3,20000,0.2,2,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water School in Community 3']"
P005,Community 3,20000,0.2,2,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 3']"
P005,Community 3,20000,0.2,2,Q002,Repair Water School in Community 1,Repair Water Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 1']"
P005,Community 3,20000,0.2,2,Q001,Repair Water School in Community 1,Repair Power Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 1']"
P005,Community 3,20000,0.2,2,Q034,Repair Water School in Community 3,Repair Power Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 3']"
P006,Community 2,12000,0.4,1,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 3']"
P006,Community 2,12000,0.4,1,Q014,Repair Power Residential in Community 1,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Power Residential in Community 1']"
P006,Community 2,12000,0.4,1,Q004,Repair Water School in Community 1,Repair Water Residential in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 2']"
P006,Community 2,12000,0.4,1,Q036,Repair Power Residential in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 3']"
P006,Community 2,12000,0.4,1,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
P006,Community 2,12000,0.4,1,Q021,Repair Water Residential in Community 1,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Water Residential in Community 1']"
P006,Community 2,12000,0.4,1,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 3']"
P006,Community 2,12000,0.4,1,Q033,Repair Water Commercial in Community 2,Repair Water Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 3']"
P006,Community 2,12000,0.4,1,Q023,Repair Power Residential in Community 2,Repair Water Commercial in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Commercial in Community 2']"
P006,Community 2,12000,0.4,1,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 2']"
P007,Community 1,5000,0.7,0,Q012,Repair Power Residential in Community 1,Repair Water Commercial in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water Commercial in Community 2']"
P007,Community 1,5000,0.7,0,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
P007,Community 1,5000,0.7,0,Q031,Repair Water Commercial in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Commercial in Community 2']"
P007,Community 1,5000,0.7,0,Q014,Repair Power Residential in Community 1,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Power Residential in Community 1']"
P007,Community 1,5000,0.7,0,Q020,Repair Water Residential in Community 1,Repair Power Residential in Community 3,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 3']"
P007,Community 1,5000,0.7,0,Q034,Repair Water School in Community 3,Repair Power Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 3']"
P007,Community 1,5000,0.7,0,Q005,Repair Water School in Community 1,Repair Water Commercial in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Commercial in Community 2']"
P007,Community 1,5000,0.7,0,Q008,Repair Water School in Community 1,Repair Water Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 3']"
P007,Community 1,5000,0.7,0,Q011,Repair Power Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Power Residential in Community 1']"
P007,Community 1,5000,0.7,0,Q018,Repair Water Residential in Community 1,Repair Water Commercial in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Commercial in Community 2']"
P008,Community 2,12000,0.4,1,Q036,Repair Power Residential in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 3']"
P008,Community 2,12000,0.4,1,Q002,Repair Water School in Community 1,Repair Water Residential in Community 1,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water School in Community 1']"
P008,Community 2,12000,0.4,1,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 3']"
P008,Community 2,12000,0.4,1,Q006,Repair Water School in Community 1,Repair Water School in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water School in Community 3']"
P008,Community 2,12000,0.4,1,Q017,Repair Water Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Residential in Community 2']"
P008,Community 2,12000,0.4,1,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 2']"
P008,Community 2,12000,0.4,1,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Power Residential in Community 2']"
P008,Community 2,12000,0.4,1,Q013,Repair Power Residential in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 1']"
P008,Community 2,12000,0.4,1,Q001,Repair Water School in Community 1,Repair Power Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 1']"
P008,Community 2,12000,0.4,1,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
P009,Community 3,20000,0.2,2,Q011,Repair Power Residential in Community 1,Repair Water Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water Residential in Community 2']"
P009,Community 3,20000,0.2,2,Q020,Repair Water Residential in Community 1,Repair Power Residential in Community 3,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 3']"
P009,Community 3,20000,0.2,2,Q036,Repair Power Residential in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 3']"
P009,Community 3,20000,0.2,2,Q007,Repair Water School in Community 1,Repair Power Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 3']"
P009,Community 3,20000,0.2,2,Q001,Repair Water School in Community 1,Repair Power Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 1']"
P009,Community 3,20000,0.2,2,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 2']"
P009,Community 3,20000,0.2,2,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Commercial in Community 2']"
P009,Community 3,20000,0.2,2,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 3']"
P009,Community 3,20000,0.2,2,Q008,Repair Water School in Community 1,Repair Water Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 3']"
P009,Community 3,20000,0.2,2,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 1']"
P010,Community 1,5000,0.7,0,Q029,Repair Water Residential in Community 2,Repair Power Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Power Residential in Community 3']"
P010,Community 1,5000,0.7,0,Q032,Repair Water Commercial in Community 2,Repair Power Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Power Residential in Community 3']"
P010,Community 1,5000,0.7,0,Q015,Repair Power Residential in Community 1,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 1']"
P010,Community 1,5000,0.7,0,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 2']"
P010,Community 1,5000,0.7,0,Q031,Repair Water Commercial in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Commercial in Community 2']"
P010,Community 1,5000,0.7,0,Q003,Repair Water School in Community 1,Repair Power Residential in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 2']"
P010,Community 1,5000,0.7,0,Q008,Repair Water School in Community 1,Repair Water Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 3']"
P010,Community 1,5000,0.7,0,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Commercial in Community 2']"
P010,Community 1,5000,0.7,0,Q001,Repair Water School in Community 1,Repair Power Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 1']"
P010,Community 1,5000,0.7,0,Q023,Repair Power Residential in Community 2,Repair Water Commercial in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Commercial in Community 2']"
P011,Community 1,5000,0.7,0,Q013,Repair Power Residential in Community 1,Repair Water School in Community 3,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water School in Community 3']"
P011,Community 1,5000,0.7,0,Q006,Repair Water School in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water School in Community 1']"
P011,Community 1,5000,0.7,0,Q019,Repair Water Residential in Community 1,Repair Water School in Community 3,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water School in Community 3']"
P011,Community 1,5000,0.7,0,Q008,Repair Water School in Community 1,Repair Water Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 3']"
P011,Community 1,5000,0.7,0,Q033,Repair Water Commercial in Community 2,Repair Water Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 3']"
P011,Community 1,5000,0.7,0,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 3']"
P011,Community 1,5000,0.7,0,Q009,Repair Power Residential in Community 1,Repair Water Residential in Community 1,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 1']"
P011,Community 1,5000,0.7,0,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 2']"
P011,Community 1,5000,0.7,0,Q018,Repair Water Residential in Community 1,Repair Water Commercial in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Commercial in Community 2']"
P011,Community 1,5000,0.7,0,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 3']"
P012,Community 2,12000,0.4,1,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water School in Community 3']"
P012,Community 2,12000,0.4,1,Q018,Repair Water Residential in Community 1,Repair Water Commercial in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Commercial in Community 2']"
P012,Community 2,12000,0.4,1,Q011,Repair Power Residential in Community 1,Repair Water Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water Residential in Community 2']"
P012,Community 2,12000,0.4,1,Q023,Repair Power Residential in Community 2,Repair Water Commercial in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Commercial in Community 2']"
P012,Community 2,12000,0.4,1,Q005,Repair Water School in Community 1,Repair Water Commercial in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Commercial in Community 2']"
P012,Community 2,12000,0.4,1,Q020,Repair Water Residential in Community 1,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Water Residential in Community 1']"
P012,Community 2,12000,0.4,1,Q004,Repair Water School in Community 1,Repair Water Residential in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Residential in Community 2']"
P012,Community 2,12000,0.4,1,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 3']"
P012,Community 2,12000,0.4,1,Q036,Repair Power Residential in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 3']"
P012,Community 2,12000,0.4,1,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Residential in Community 3']"
P013,Community 1,5000,0.7,0,Q005,Repair Water School in Community 1,Repair Water Commercial in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Commercial in Community 2']"
P013,Community 1,5000,0.7,0,Q034,Repair Water School in Community 3,Repair Power Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 3']"
P013,Community 1,5000,0.7,0,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Residential in Community 3']"
P013,Community 1,5000,0.7,0,Q035,Repair Water School in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Water School in Community 3']"
P013,Community 1,5000,0.7,0,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Water Residential in Community 2']"
P013,Community 1,5000,0.7,0,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
P013,Community 1,5000,0.7,0,Q024,Repair Power Residential in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 2']"
P013,Community 1,5000,0.7,0,Q032,Repair Water Commercial in Community 2,Repair Power Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Power Residential in Community 3']"
P013,Community 1,5000,0.7,0,Q019,Repair Water Residential in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 1']"
P013,Community 1,5000,0.7,0,Q022,Repair Power Residential in Community 2,Repair Water Residential in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Power Residential in Community 2']"
P014,Community 1,5000,0.7,0,Q033,Repair Water Commercial in Community 2,Repair Water Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 3']"
P014,Community 1,5000,0.7,0,Q019,Repair Water Residential in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 1']"
P014,Community 1,5000,0.7,0,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 1']"
P014,Community 1,5000,0.7,0,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 3']"
P014,Community 1,5000,0.7,0,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 2']"
P014,Community 1,5000,0.7,0,Q017,Repair Water Residential in Community 1,Repair Water Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Residential in Community 2']"
P014,Community 1,5000,0.7,0,Q032,Repair Water Commercial in Community 2,Repair Power Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Power Residential in Community 3']"
P014,Community 1,5000,0.7,0,Q013,Repair Power Residential in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 1']"
P014,Community 1,5000,0.7,0,Q028,Repair Water Residential in Community 2,Repair Water School in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water School in Community 3']"
P014,Community 1,5000,0.7,0,Q007,Repair Water School in Community 1,Repair Power Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 3']"
P015,Community 3,20000,0.2,2,Q025,Repair Power Residential in Community 2,Repair Power Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Power Residential in Community 3']"
P015,Community 3,20000,0.2,2,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Power Residential in Community 2,"['Repair Power Residential in Community 2', 'Repair Water Residential in Community 3']"
P015,Community 3,20000,0.2,2,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Power Residential in Community 2']"
P015,Community 3,20000,0.2,2,Q030,Repair Water Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Residential in Community 3']"
P015,Community 3,20000,0.2,2,Q014,Repair Power Residential in Community 1,Repair Power Residential in Community 3,Repair Power Residential in Community 3,"['Repair Power Residential in Community 3', 'Repair Power Residential in Community 1']"
P015,Community 3,20000,0.2,2,Q005,Repair Water School in Community 1,Repair Water Commercial in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Commercial in Community 2']"
